S.No,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha),Ground Water Recharge (ham),Inflows and Outflows (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),Quality Tagging,Additional Potential Resources Under Specific Conditions(ham),Coastal Areas,In-Storage Unconfined Ground Water Resources(ham),Total Ground Water Availability in Unconfined Aquifier (ham),Dynamic Confined Ground Water Resources(ham),In-Storage Confined Ground Water Resources(ham),Total Confined Ground Water Resources (ham),Dynamic Semi Confined Ground Water Resources (ham),In-Storage Semi Confined Ground Water Resources (ham),Total Semi-Confined Ground Water Resources (ham),Total Ground Water Availability in the area (ham)
0,0,0,0,Recharge Worthy Area (ha),Rainfall Recharge,Base Flow,0,0,0,Domestic,0,0,0,Major Parameter Present,0,0,0,0,0,0,0,0,0,0,0
0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,Waterlogged and shallow water Table,C,Fresh,Fresh,Fresh,Fresh,Fresh,Fresh,Fresh,Fresh,Fresh
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14226.49,0,0,0,0,0,0,14226.49
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56008,65919.13,0,0,0,0,0,0,65919.13
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,10762.96,0,0,0,0,0,0,10762.96
4,ANDHRA PRADESH,Alluri Sitharama Raju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150312.39,0,0,0,0,0,0,150312.39
5,ANDHRA PRADESH,Anakapalli,1208.25650607834,68851,7075.41,0,20543.99,1027.24,19516.75,1022.639904,25.0365967694416,1172.98,14720.25,0,0,0,1216281.18,1294136,0,0,0,0,0,0,1294136
6,ANDHRA PRADESH,Ananthapuramu,525.014237741249,243887,10613.24,0,37330.35,1866.46,35463.89,909.263628,32.6079851928257,1344.79,23666.42,0,0,0,0,115874.29,0,0,0,0,0,0,115874.29
7,ANDHRA PRADESH,Annamayya,758.215901211241,112199,7262.75,0,12638.43,631.94,12006.49,851.71,45.1448341688537,851.72,6595.44,0,0,0,0,82241.76,0,0,0,0,0,0,82241.76
8,ANDHRA PRADESH,Bapatla,893.761225215725,238962,22426.54,0,67313.27,3365.69,63947.58,2584.49300375,28.0572462632675,2676.13,46344.81,0,0,0,709895.55,776660.21,0,0,0,0,0,0,776660.21
9,ANDHRA PRADESH,Chittoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3159229.11,3245132.9,0,0,0,0,0,0,3245132.9
10,ANDHRA PRADESH,East Godavari,1165.96967188536,127679.43216,14842.2,0,75027.46,3751.39,71276.07,926.022228,25.6644481100038,964.65,53475.63,0,0,0,0,101925.38,0,0,0,0,0,0,101925.38
11,ANDHRA PRADESH,Eluru,908.808426518947,135041.41,13323.93,0,74091.46,3704.7,70386.76,3324.6765525,11.4505767846112,3749.78,62310.7,0,0,0,4225284.78,4398956.5,0,0,0,0,0,0,4398956.5
